Office,التجهيز,Subscription,Breaker,consumption,x,y
3440,5010820691,3120304469,150,26443.44,38.7094,30.3061
3440,5001438751,33120164484,60,26249.46,38.16554255,30.41665814
3420,5001333091,33060107194,400,26213.6,39.67334218,29.76939728
3420,5001328653,33060104503,400,26108,39.50007828,29.90073301
3440,5008925013,33120231424,200,25958.4,38.43849203,30.40787095
3430,5001417468,33110219481,200,25923.6,37.4965,31.249
3420,5001331786,33060134834,200,25894.8,39.505,29.8626
3440,5001406111,33120175611,200,25862.8,38.2646791,30.50737139
3440,5001450332,33120083555,200,25683.2,38.25946837,30.45202339
3440,5007970924,33120197331,300,25315.2,38.10542644,30.65713055
3440,5001402651,33120175361,150,25298.82,38.36794738,30.44295446
3420,5001298815,33060125601,400,25227.2,39.50464353,29.93449218
3440,5001864730,33120188600,200,25178,38.70518187,30.32140638
3420,5010350112,3060233313,200,25117.2,39.56061927,29.84089837
3420,5011622538,3060265059,250,24732,39.4234,29.8652
3420,5001294594,33060125399,200,24722.4,39.6748,29.9043
3420,5001327304,33060058939,300,24717.6,39.57617,29.81165
3420,5004159955,33060174704,200,24643.2,39.53016442,29.84871861
3440,5009493036,33120251946,150,24498.94,38.24110686,30.43830362
3440,5008577977,33120221741,100,24372.39,38.24835132,30.53833414
3440,5011052380,3120314231,100,24340.58,38.76634071,30.30073192
3410,5011145166,3011089038,100,24277.58,40.33510455,29.95646809
3420,5011399588,3060256917,200,24153.6,39.54208876,29.86215883
3410,5001287722,33010455430,400,24005.6,40.22632298,30.24914271
3440,5009032118,33120235755,150,23958.2,38.72517747,30.30431256
3430,5001337290,33110256223,200,23898.8,37.57537,31.13159
3420,5001313223,33060129244,200,23747.2,39.5048,29.855
3440,5010637099,3120294246,150,23560.39,38.71586874,30.3418568
3440,5011319495,3120326072,300,23452.8,38.16947509,30.42708358
3430,5008416219,33110410539,200,23302,37.55838205,31.15433091
3440,5009508926,3120251973,150,23042.38,38.73300087,30.30711849
3440,5011288083,3120324416,200,22979.6,38.14221685,30.43390116
3420,5001283277,33060123394,200,22483.2,39.55521627,29.85197388
3420,5001345371,33060163031,200,22470,39.56,29.8531
3440,5009932077,3120267409,200,22198.8,38.44589,30.4072
3440,5001427215,33120178381,100,22132.51,38.2677,30.4071
3440,5009278456,33120245125,150,22116.8,38.0881,30.5883
3440,5001423421,33120146127,125,21911.55,38.32302579,30.42577563
3440,5008488593,33120216295,150,21882.47,38.13804725,30.47876939
3410,5001862250,33010654433,100,21723.69,40.45427,29.77552
3440,5001446129,33120100315,200,21687.6,38.20942266,30.42323102
3440,5011760179,3120338289,200,21651.2,38.0876,30.662
3440,5001443177,33120148847,150,21573.2,38.71769925,30.32613747
3440,5001405664,33120077404,250,21553.6,38.06608483,30.6426112
3420,5001325301,33060132938,300,21550.2,39.5626,29.8467
3420,5008138033,33060182072,200,21525.6,39.53607609,29.85820282
3420,5001298742,33060140528,300,21241.2,39.69687005,29.83320987
3410,5008636514,33010745298,150,21199.31,40.3289724,29.89432906
3440,5001409948,33120176064,160,21144.7,38.24644123,30.45492281
3420,5008341777,33060187444,300,21079.8,39.7262,29.8617
3440,5001443644,33120082450,200,21073.2,38.01495176,30.70793611
3420,5001308586,33060143619,300,21024.6,39.47886495,29.93650772
3410,5001265177,33010134916,160,20978.88,40.42281679,29.84612363
3410,5001278220,33010201831,300,20884.2,40.14421,29.82776
3440,5008614031,33120222318,160,20732.25,38.71937582,30.32230477
3440,5001381431,33120156750,100,20730.79,38.17874622,30.42717701
3440,5001357078,33120152993,60,20652.98,38.27434446,30.53057635
3440,5001397270,33120158979,150,20625.65,38.71106425,30.31087604
3440,5008193125,33120206047,200,20585.6,38.15806831,30.48050158
3420,5001316745,33060114921,200,20573.28,39.51117547,29.87159768
3410,5008961760,33010780770,200,20346.8,40.0573,29.871
3440,5001394275,33120142084,250,20198.4,38.43827028,30.41345015
3440,5001386352,33120025678,100,20145,38.24191203,30.44459085
3440,5001431493,33120080849,160,20069.34,38.16741288,30.537401
3430,5001415521,33110369933,200,20008,37.56107184,31.16204633
3430,5007976381,33110387421,100,19953.29,37.56701206,31.20188824
3420,5010256317,3060230671,300,19950.6,39.58682809,29.8528907
3440,5009577745,3120255014,150,19900.34,38.20669322,30.42773689
3440,5001406294,33120110957,150,19691.43,38.22104699,30.42081054
3410,5001292032,33010456151,150,19617.45,40.28137209,30.10249407
3440,5001397541,33120076855,200,19370,38.2291191,30.45724247
3440,5001397029,33120174453,150,19349,38.71720096,30.33288242
3440,5001406516,33120077834,200,19313.6,38.26907116,30.4514595
3440,5011863350,3120344606,100,19253.72,38.5142,30.4239
3440,5012036759,3120351084,400,19212.8,38.1466,30.3929
3440,5001390424,33120157953,160,19044.61,37.97328141,30.69522592
3440,5011842460,3120345935,100,19014.98,38.1792,30.587
3420,5001285194,33060093277,300,18896.4,39.50394136,29.88315846
3440,5011810691,3120343215,200,18894.4,38.3034,30.4425
3430,5008316499,33110405191,150,18883.23,37.71270536,30.99078876
3440,5008775163,33120227584,160,18821.21,38.41906,30.37792
3440,5001426877,33120129663,100,18770.87,38.26855412,30.52904816
3440,5011801529,3120344286,150,18682.39,38.47837379,30.42011162
3410,5008515480,33010731078,100,18574.02,40.31203585,30.24343418
3410,5001284710,33010365520,150,18518.4,40.33475896,29.95432039
3440,5010402690,3120284858,70,18488.46,38.2216964,30.5524144
3440,5008773016,33120227566,100,18452.95,38.71184786,30.30631796
3440,5001423350,33120146083,200,18403.2,38.21184594,30.55263218
3420,5010553237,3060237009,100,18391.08,39.43389148,29.84057597
3440,5008422967,33120213963,150,18313.77,38.6820304,30.29980537
3440,5001381276,33120140357,100,18203.59,38.38455161,30.44883945
3440,5008249542,33120207545,100,18186.12,38.1499628,30.59646949
3440,5001431518,33120163763,200,18160.4,38.18480247,30.5395156
3440,5010321622,3120282577,150,18071.49,38.74366722,30.29988269
3420,5010770329,3060242340,300,17999.4,39.4834,29.9425
3410,5001280316,33010515019,100,17969.62,40.26008733,30.26617351
3440,5001344524,33120135339,300,17908.2,38.43846307,30.41332366
3420,5001307926,33060127901,300,17836.2,39.4582,29.908
